"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 00:00","2012","03","01","00:00","1.4","","-0.1","","90","","7","","15","","6.4","","96.62","","","","","","Fog"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 01:00","2012","03","01","01:00","1.6","","0.1","","90","","17","","11","","4.0","","96.72","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 02:00","2012","03","01","02:00","1.5","","0.1","","90","","11","","17","","4.0","","96.60","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 03:00","2012","03","01","03:00","1.7","","0.4","","91","","23","","7","","4.0","","96.70","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 04:00","2012","03","01","04:00","2.4","","0.9","","90","","25","","11","","4.8","","96.71","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 05:00","2012","03","01","05:00","2.1","","0.3","","88","","27","","20","","4.8","","96.81","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 06:00","2012","03","01","06:00","1.1","","-0.7","","88","","28","","13","","4.8","","96.90","","","","","","Rain Showers,Fog"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 07:00","2012","03","01","07:00","1.2","","-1.4","","83","","29","","13","","12.9","","96.97","","","","","","Cloudy"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 08:00","2012","03","01","08:00","1.0","","-1.4","","84","","25","","15","","12.9","","97.06","","","","","","Cloudy"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 09:00","2012","03","01","09:00","1.3","","-0.8","","86","","25","","13","","12.9","","97.12","","","","","","Cloudy"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 10:00","2012","03","01","10:00","2.6","","-0.2","","82","","25","","20","","12.9","","97.14","","","","","","Mostly Cloudy"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 11:00","2012","03","01","11:00","3.1","","-0.8","","76","","26","","22","","16.1","","97.19","","","","","","Mostly Cloudy"
"-81.15","43.03","LONDON INT'L AIRPORT","6144475","2012-03-01 12:00","2012","03","01","12:00","3.1","","-1.5","","72","","27","","17","","16.1","","97.25","","","","","","Mostly Cloudy"
